CRS,Tiploc,Description,Stannox
,AACHEN,AACHEN,5
,ABCWM,ABERCWMBOI,78128
XPZ,ABDAPEN,PENYWAUN BUS,0
ABA,ABDARE,ABERDARE,78100
XTO,ABDATRE,TRECYNON BUS,0
AUR,ABDO,ABERDOUR,3295
AVY,ABDVY,ABERDOVEY,64409
ABE,ABER,ABER,78371
AGL,ABGLELE,ABERGELE & PENSARN,40073
,ABGNWYN,ABERGYNOLWYN,0
,ABHL811,EDINBURGH SIGNAL 811,4311
,ABHLJN,ABBEYHILL JN,4309
,ABHLTB,ABBEYHILL TURNBACK SDGS,4308
,ABIN521,ABINGTON MC521 SIGNAL,7937
,ABIN528,ABINGTON MC528 SIGNAL,7938
,ABINCE,ABINGTON C.E.,7947
,ABINDPL,ABINGTON D.P.L.,7971
,ABINDS,ABINGTON DOWN SIDING,7948
,ABINGTN,ABINGTON,7972
,ABINUPL,ABINGTON U.P.L.,7970
,ABINUS,ABINGTON UP SIDING,7939
XAE,ABNGHST,ABINGDON HIGH STREET,0
,ABNGSTR,ABINGDON STRATTON WAY,0
,ABRBEG,ABERBEEG,76639
,ABRC187,ABERCYNON SIGNAL A187,78203
,ABRCJN,ABERCYNON JUNCTION,78205
ACY,ABRCYNS,ABERCYNON,78204
,ABRD222,ABERDEEN SIG A222,2085
,ABRD223,ABERDEEN SIG A223,2087
,ABRD27,ABERDEEN SIG A27,2080
,ABRD75,ABERDEEN SIG A75,2078
,ABRD77,ABERDEEN SIG A77,2079
XAC,ABRDCH,ABERDEEN CLAYHILLS CAR.M.D,2075
ABD,ABRDEEN,ABERDEEN,2071
,ABRDFDS,ABERDEEN FERRYHILL DN SDGS,2083
,ABRDFGL,ABERDEEN FERRYHILL G.L.,2084
,ABRDFJN,ABERDEEN FERRYHILL JN,2082
,ABRDFUS,ABERDEEN FERRYHILL UP SDGS,2086
,ABRDNS,ABERDEEN NORTH SIDING,2067
,ABRDSVC,ABERDEEN SERVICE CO.,0
,ABRDWAT,ABERDEEN WATERLOO,2061
,ABRDWCR,ABERDEEN WATERLOO COLAS,2070
,ABRDWGB,ABERDEEN WATERLOO (GBRF),2062
ABH,ABRE,ABERERCH,64506
AFD,ABRFRWD,ABERFFRWD,0
,ABRGPGN,PENPERGWN,76248
,ABRGS38,ABERGAVENNY SIG 38,76253
,ABRGS42,ABERGAVENNY SIG AY42,76249
,ABRGUS,ABERGAVENNY UP SIDINGS,76250
AGV,ABRGVNY,ABERGAVENNY,76251
,ABRPGWM,ABERPERGWM,79519
,ABRYAFO,AFON WEN LC,64505
,ABRYRRL,ABERYSTWYTH RUN ROUND LOOP,64609
,ABRYSHE,ABERYSTWYTH SHELL SDGS,64608
,ABRYSNS,ABERYSTWYTH STN SDGS,0
AYW,ABRYSTH,ABERYSTWYTH,64607
,ABTH,ABERTHAW,78903
,ABTH222,ABERTHAW AW222,78916
,ABTH231,ABERTHAW AW231,78919
,ABTH433,ABERTHAW SIG CF3433,78917
,ABTH440,ABERTHAW SIG CF3440,78918
,ABTHA13,ABERTHAW SIGNAL A13,78904
,ABTHA39,ABERTHAW SIGNAL A39,78900
,ABTHCFH,ABERTHAW PS CRIP SDG FHH,78910
,ABTHCRL,ABERTHAW PS COLAS RAIL,78912
,ABTHLAF,ABERTHAW CEMENT WKS LAFARG,78902
,ABTHOSD,ABERTHAW N.P.OIL SDG,78904
,ABTHPS,ABERTHAW POWER STATION EWS,78904
,ABTHPST,ABERTHAW PWR STN FLINE HVY,78908
,ABTHRCP,ABERTHAW REC SDGS,78906
,ABTHRFH,ABERTHAW DN REC SDG FHH,78911
,ABTHTCR,ABERTHAW TARMAC COLAS RAIL,78920
,ABTHWCC,ABERTHAW CEMENT WORKS,78905
,ABTS654,ABBOTSWOOD JN BA7654 SIG,67373
XAY,ABTSWDJ,ABBOTSWOOD JN,67371
ABW,ABWD,ABBEY WOOD,88601
,ABWDARJ,ALSIKE ROAD JUNCTION,88606
,ABWDER,ABBEY WOOD ENGINEERING RD,88605
ABX,ABWDXR,ABBEY WOOD (CROSSRAIL),88607
,ABWDXRS,ABBEY WOOD CROSSRAIL SDG,88608
ACB,ACBG,ACTON BRIDGE,37001
,ACGJN,ACTON GRANGE JN,35555
